Frans Kafka	The Castle	I dream of a grave, deep and narrow, where we could clasp each other in our arms as with clamps, and I would hide my face in you and you would hide your face in me, and nobody would ever see us any more.
Herman Melville		It is better to fail in originality than to succeed in imitation.
Herman Melville	Moby-Dick or, The Whale	I know not all that may be coming, but be it what it will, I'll go to it laughing.
Herman Melville	Pierre; or, The Ambiguities	A smile is the chosen vehicle of all ambiguities.
Herman Melville		We cannot live only for ourselves. A thousand fibers connect us with our fellow men; and among those fibers, as sympathetic threads, our actions run as causes, and they come back to us as effects.
Herman Melville	Moby-Dick or, The Whale	It is not down on any map; true places never are.
Herman Melville	Moby-Dick or, The Whale	Better to sleep with a sober cannibal than a drunk Christian.
Herman Melville	Moby-Dick or, The Whale	As for me, I am tormented with an everlasting itch for things remote. I love to sail forbidden seas, and land on barbarous coasts.
Herman Melville		I do not think I have any uncharitable prejudice against the rattlesnake, still, I should not like to be one.
Herman Melville		Of all the preposterous assumptions of humanity over humanity, nothing exceeds most of the criticisms made on the habits of the poor by the well-housed, well- warmed, and well-fed.
Herman Melville	Moby Dick	Whenever I find myself growing grim about the mouth; whenever it is a damp, drizzly November in my soul; whenever I find myself involuntarily pausing before coffin warehouses, and bringing up the rear of every funeral I meet; and especially whenever my hypos get such an upper hand of me, that it requires a strong moral principle to prevent me from deliberately stepping into the street, and methodically knocking people's hats off - then, I account it high time to get to sea as soon as I can.
Herman Melville	Moby-Dick; or, the Whale	There are certain queer times and occasions in this strange mixed affair we call life when a man takes this whole universe for a vast practical joke, though the wit thereof he but dimly discerns, and more than suspects that the joke is at nobody's expense but his own.
Herman Melville	Moby-Dick or, The Whale	I try all things, I achieve what I can.
Herman Melville	Bartleby the Scrivener	I would prefer not to.
Herman Melville	Moby-Dick or, The Whale	Ignorance is the parent of fear.
Herman Melville	Moby Dick	Consider the subtleness of the sea; how its most dreaded creatures glide under water, unapparent for the most part, and treacherously hidden beneath the loveliest tints of azure. Consider also the devilish brilliance and beauty of many of its most remorseless tribes, as the dainty embellished shape of many species of sharks. Consider, once more, the universal cannibalism of the sea; all whose creatures prey upon each other, carrying on eternal war since the world began.Consider all this; and then turn to the green, gentle, and most docile earth; consider them both, the sea and the land; and do you not find a strange analogy to something in yourself? For as this appalling ocean surrounds the verdant land, so in the soul of man there lies one insular Tahiti, full of peace and joy, but encompassed by all the horrors of the half-known life. God keep thee! Push not off from that isle, thou canst never return!
Herman Melville	Moby-Dick or, The Whale	Talk not to me of blasphemy, man; I'd strike the sun if it insulted me.
Herman Melville	Moby-Dick or, The Whale	...to the last I grapple with thee; from hell's heart I stab at thee; for hate's sake I spit my last breath at thee.
Herman Melville		For there is no folly of the beast of the earth which is not infinitely outdone by the madness of men.
Herman Melville	Moby-Dick or, The Whale	Call me Ishmael.
Herman Melville		and Heaven have mercy on us all - Presbyterians and Pagans alike - for we are all somehow dreadfully cracked about the head, and sadly need mending.
Herman Melville	Moby Dick	There is a wisdom that is woe; but there is a woe that is madness. And there is a Catskill eagle in some souls that can alike dive down into the blackest gorges, and soar out of them again and become invisible in the sunny spaces. And even if he for ever flies within the gorge, that gorge is in the mountains; so that even in his lowest swoop the mountain eagle is still higher than other birds upon the plain, even though they soar.
Herman Melville	Moby-Dick or, The Whale	Human madness is oftentimes a cunning and most feline thing. When you think it fled, it may have but become transfigured into some still subtler form.
Herman Melville	Moby-Dick or, The Whale	I love to sail forbidden seas, and land on barbarous coasts.
Herman Melville		A man thinks that by mouthing hard words he understands hard things.
Herman Melville	Moby-Dick or, The Whale	Think not, is my eleventh commandment; and sleep when you can, is my twelfth.
Herman Melville	Moby-Dick or, The Whale	To enjoy bodily warmth, some small part of you must be cold, for there is no quality in this world that is not what it is merely by contrast. Nothing exists in itself. If you flatter yourself that you are all over comfortable, and have been so a long time, then you cannot be said to be comfortable any more. For this reason a sleeping apartment should never be furnished with a fire, which is one of the luxurious discomforts of the rich. For the height of this sort of deliciousness is to have nothing but the blanket between you and your snugness and the cold of the outer air. Then there you lie like the one warm spark in the heart of an arctic crystal.
Herman Melville	Billy Budd, Sailor	Who in the rainbow can draw the line where the violet tint ends and the orange tint begins? Distinctly we see the difference of the colors, but where exactly does the one first blendingly enter into the other? So with sanity and insanity.
Herman Melville	Moby-Dick or, The Whale	See how elastic our prejudices grow when once love comes to bend them.
Herman Melville	Moby-Dick or, The Whale	The sea had jeeringly kept his finite body up, but drowned the infinite of his soul. Not drowned entirely, though. Rather carried down alive to wondrous depths, where strange shapes of the unwarped primal world glided to and fro before his passive eyes; and the miser-merman, Wisdom, revealed his hoarded heaps; and among the joyous, heartless, ever-juvenile eternities, Pip saw the multitudinous, God-omnipresent, coral insects, that out of the firmament of waters heaved the colossal orbs. He saw God’s foot upon the treadle of the loom, and spoke it; and therefore his shipmates called him mad. So man’s insanity is heaven’s sense; and wandering from all mortal reason, man comes at last to that celestial thought, which, to reason, is absurd and frantic; and weal or woe, feels then uncompromised, indifferent as his God.
Herman Melville	Moby Dick	Methinks we have hugely mistaken this matter of Life and Death. Methinks that what they call my shadow here on earth is my true substance. Methinks that in looking at things spiritual, we are too much like oysters observing the sun through the water, and thinking that thick water the thinnest of air. Me thinks my body is but the lees of my better being. In fact take my body who will, take it I say, it is not me.
Herman Melville	Moby Dick oder Der Wal	It is the easiest thing in the world for a man to look as if he had a great secret in him.
Herman Melville	Billy Budd, Sailor and Other Uncompleted Writings	Truth uncompromisingly told will always have its jagged edges.
Herman Melville	Moby Dick	Whenever I find myself growing grim about the mouth; whenever it is a damp, drizzly November in my soul; whenever I find myself involuntarily pausing before coffin warehouses, and bringing up the rear of every funeral I meet; and especially whenever my hypos get such an upper hand of me, that it requires a strong moral principle to prevent me from deliberately stepping into the street, and methodically knocking people's hats off--then, I account it high time to get to sea as soon as I can. This is my substitute for pistol and ball. With a philosophical flourish Cato throws himself upon his sword; I quietly take to the ship.
Melville Herman		Real strength never impairs beauty or harmony, but it often bestows it, and in everything imposingly beautiful, strength has much to do with the magic.
Herman Melville	Moby-Dick or, The Whale	Squeeze! Squeeze! Squeeze! all the morning long; I squeezed that sperm till I myself almost melted into it; I squeezed that sperm till a strange sort of insanity came over me, and I found myself unwittingly squeezing my co-labourers' hands in it, mistaking their hands for the gentle globules. Such an abounding, affectionate, friendly, loving feeling did this avocation beget; that at last I was continually squeezing their hands, and looking up into their eyes sentimentally, as much as to say,—Oh! my dear fellow beings, why should we longer cherish any social acerbities, or know the slightest ill humour or envy! Come; let us squeeze hands all round; nay, let us all squeeze ourselves into each other; let us squeeze ourselves universally into the very milk and sperm of kindness.
Herman Melville	Moby-Dick; or, the Whale	A noble craft, but somehow a most melancholy! All noble things are touched with that.
Herman Melville	Moby-Dick or, The Whale	There is no folly of the beast of the earth which is not infinitely outdone by the madness of man.
Herman Melville	Moby-Dick or, The Whale	All men live enveloped in whale-lines. All are born with halters round their necks; but it is only when caught in the swift, sudden turn of death, that mortals realize the silent, subtle, ever-present perils of life. And if you be a philosopher, though seated in the whale-boat, you would not at heart feel one whit more of terror, than though seated before your evening fire with a poker, and not a harpoon, by your side.
Herman Melville	Moby Dick	Our souls are like those orphans whose unwedded mothers die in bearing them: the secret of our paternity lies in their grave, and we must there to learn it.
Herman Melville	Moby Dick	Take almost any path you please, and ten to one it carries you down in a dale, and leaves you there by a pool in the stream. There is magic in it. Let the most absent-minded of men be plunged in his deepest reveries--stand that man on his legs, set his feet a-going, and he will infallibly lead you to water, if water there be in all that region. Should you ever be athirst in the great American desert, try this experiment, if your caravan happen to be supplied with a metaphysical professor. Yes, as every one knows, meditation and water are wedded for ever.
Herman Melville	Moby-Dick or, The Whale	Give not thyself up, then, to fire, lest it invert thee, deaden thee, as for the time it did me. There is a wisdom that is woe; but there is a woe that is madness.
Melville	Moby-Dick or, The Whale	Top-heavy was the ship as a dinnerless student with all Aristotle in his head.
Herman Melville	Moby-Dick or, The Whale	Consider the subtleness of the sea; how its most dreaded creatures glide under water, unapparent for the most part, and treacherously hidden beneath the loveliest tints of azure..... Consider all this; and then turn to this green, gentle , and most docile earth; consider them both, the sea and the land; and do you not find a strange analogy to something in yourself?
Herman Melville	Moby-Dick or, The Whale	In this world, shipmates, sin that pays its way can travel freely and without a passport; whereas Virtue, if a pauper, is stopped at all frontiers.
Herman Melville	Bartleby the Scrivener	Ah, happiness courts the light so we deem the world is gay. But misery hides aloof so we deem that misery there is none.
Herman Melville	Moby-Dick or, The Whale	There is, one knows not what sweet mystery about this sea, whose gently awful stirrings seem to speak of some hidden soul beneath...
Herman Melville	Moby Dick	Cannibals? Who is not a cannibal? I tell you it will be more tolerable for the Fejee that salted down a lean missionary in his cellar against a coming famine; it will be more tolerable for that provident Fejee, I say, in the day of judgement, than for thee, civilized and enlightened gourmand, who nailest geese to the ground and feastest on their bloated livers in thy pate de fois gras.
Herman Melville		Call me Ishmael. Some years ago - never mind how long precisely - having little or no money in my purse, and nothing particular to interest me on shore, I thought I would sail about a little and see the watery part of the world. It is a way I have of driving off the spleen, and regulating the circulation. Whenever I find myself growing grim about the mouth; whenever it is a damp, drizzly November in my soul; whenever I find myself involuntarily pausing before coffin warehouses, and bringing up the rear of every funeral I meet; and especially whenever my hypos get such an upper hand of me, that it requires a strong moral principle to prevent me from deliberately stepping into the street, and methodically knocking people's hats off - then, I account it high time to get to sea as soon as I can. This is my substitute for pistol and ball. With a philosophical flourish Cato throws himself upon his sword; I quietly take to the ship.
Herman Melville		To produce a mighty book, you must choose a mighty theme.
Herman Melville		I'll try a pagan friend, thought I, since Christian kindness has proved but hollow courtesy.
Herman Melville		truly to enjoy bodily warmth, some small part of you must be cold, for there is no quality in this world that is not what it is merely by contrast. Nothing exists in itself. If you flatter yourself that you are all over comfortable, and have been so a long time, then you cannot be said to be comfortable any more.
Herman Melville	Moby Dick	But even so, amid the tornadoed Atlantic of my being, do I myself still for ever centrally disport in mute calm; and while ponderous planets of unwaning woe revolve round me, deep down and deep inland there I still bathe me in eternal mildness of joy.
Herman Melville		Beneath those stars is a universe of gliding monsters.
Herman Melville		I have written a wicked book, and feel spotless as the lamb.
Herman Melville		Whatever my fate, I'll go to it laughing.
Herman Melville	Moby Dick	Where lies the final harbor, whence we unmoor no more? In what rapt ether sails the world, of which the weariest will never weary? Where is the foundling’s father hidden? Our souls are like those orphans whose unwedded mothers die in bearing them: the secret of our paternity lies in their grave, and we must there to learn it.
Herman Melville	Moby-Dick or, The Whale	For small erections may be finished by their first architects; grand ones, true ones, ever leave the copestone to posterity. God keep me from ever completing anything. This whole book is but a draught—nay, but the draught of a draught. Oh, Time, Strength, Cash, and Patience!
Herman Melville		Truth is in things, and not in words.
Herman Melville		Life’s a voyage that’s homeward bound.
Herman Melville	Moby-Dick or, The Whale	To produce a mighty book, you must choose a mighty theme. No great and enduring volume can ever be written on the flea, though many there be who have tried it.
John  Williams	Stoner	Sometimes, immersed in his books, there would come to him the awareness of all that he did not know, of all that he had not read; and the serenity for which he labored was shattered as he realized the little time he had in life to read so much, to learn what he had to know.
John  Williams	Stoner	In his forty-third year William Stoner learned what others, much younger, had learned before him: that the person one loves at first is not the person one loves at last, and that love is not an end but a process through which one person attempts to know another.
John  Williams	Stoner	In his extreme youth Stoner had thought of love as an absolute state of being to which, if one were lucky, one might find access; in his maturity he had decided it was the heaven of a false religion, toward which one ought to gaze with an amused disbelief, a gently familiar contempt, and an embarrassed nostalgia. Now in his middle age he began to know that it was neither a state of grace nor an illusion; he saw it as a human act of becoming, a condition that was invented and modified moment by moment and day by day, by the will and the intelligence and the heart.
John  Williams	Stoner	You must remember what you are and what you have chosen to become, and the significance of what you are doing. There are wars and defeats and victories of the human race that are not military and that are not recorded in the annals of history. Remember that while you're trying to decide what to do.
John  Williams	Stoner	The love of literature, of language, of the mystery of the mind and heart showing themselves in the minute, strange, and unexpected combinations of letters and words, in the blackest and coldest print—the love which he had hidden as if it were illicit and dangerous, he began to display, tentatively at first, and then boldly, and then proudly.
John  Williams	Stoner	Lust and learning,
John  Williams	Stoner	A war doesn’t merely kill off a few thousand or a few hundred thousand young men. It kills off something in a people that can never be brought back. And if a people goes through enough wars, pretty soon all that’s left is the brute, the creature that we—you and I and others like us—have brought up from the slime.
John  Williams		To read without joy is stupid.
John  Williams	Stoner	He had come to that moment in his age when there occurred to him, with increasing intensity, a question of such overwhelming simplicity that he had no means to face it. He found himself wondering if his life were worth the living; if it had ever been. It was a question, he suspected, that came to all men at one time or another; he wondered if it came to them with such impersonal force as it came to him. The question brought with it a sadness, but it was a general sadness which (he thought) had little to do with himself or with his particular fate; he was not even sure that the question sprang from the most immediate and obvious causes, from what his own life had become. It came, he believed, from the accretion of his years, from the density of accident and circumstance, and from what he had come to understand of them. He took a grim and ironic pleasure from the possibility that what little learning he had managed to acquire had led him to this knowledge: that in the long run all things, even the learning that let him know this, were futile and empty, and at last diminished into a nothingness they did not alter.
John  Williams	Stoner	Dispassionately, reasonably, he contemplated the failure that his life must appear to be. He had wanted friendship and the closeness of friendship that might hold him in the race of mankind; he had had two friends, one of whom had died senselessly before he was known, the other of whom had now withdrawn so distantly into the ranks of the living that...He had wanted the singleness and the still connective passion of marriage; he had had that, too, and he had not known what to do with it, and it had died. He had wanted love; and he had had love, and had relinquished it, had let it go into the chaos of potentiality. Katherine, he thought. "Katherine."And he had wanted to be a teacher, and he had become one; yet he knew, he had always known, that for most of his life he had been an indifferent one. He had dreamed of a kind of integrity, of a kind of purity that was entire; he had found compromise and the assaulting diversion of triviality. He had conceived wisdom, and at the end of the long years he had found ignorance. And what else? he thought. What else?What did you expect? he asked himself.
John  Williams	Stoner	He was forty-two years old, and he could see nothing before him that he wished to enjoy and little behind him that he cared to remember.
John  Williams	Augustus	One does not deceive oneself about the consequences of one's acts; one deceives oneself about the ease with which one can live with those consequences.
John  Williams	Stoner	Like all lovers, they spoke much of themselves, as if they might thereby understand the world which made them possible.
John  Williams	Butcher's Crossing	Young people," McDonald said contemptuously. "You always think there's something to find out.""Yes, sir," Andrews said."Well, there's nothing," McDonald said. "You get born, and you nurse on lies, and you get weaned on lies, and you learn fancier lies in school. You live all your life on lies, and then maybe when you're ready to die, it comes to you — that there's nothing, nothing but yourself and what you could have done. Only you ain't done it, because the lies told you there was something else. Then you know you could of had the world, because you're the only one that knows the secret; only then it's too late. You're too old.""No," Andrews said. A vague terror crept from the darkness that surrounded them, and tightened his voice. "That's not the way it is.""You ain't learned, then," McDonald said. "You ain't learned yet. . . .
John  Williams	Stoner	He had, in odd ways, given it to every moment of his life, and had perhaps given it most fully when he was unaware of his giving. It was a passion neither of the mind nor of the flesh; rather, it was a force that comprehended them both, as if they were but the matter of love, its specific substance. To a woman or to a poem, it said simply: Look! I am alive.
John  Williams	Stoner	In the University library he wandered through the stacks, among the thousands of books, inhaling the musty odor of leather, cloth, and drying page as if it were an exotic incense.
John  Williams	Stoner	The dying are selfish, he thought; they want their moments to themselves, like children.
John  Williams	Stoner	Nothing had changed. Their lives had been expended in the cheerless labor, their wills broken, their intelligences numbed. Now they were in the earth to which they had given their lives; and slowly, year by year, the earth would take them. Slowly the damp and rot would infest the pine boxes which held their bodies, and slowly it would touch their flesh and finally it would consume the last vestiges of their substances. And they would become a meaningless part of that stubborn earth to which they had long ago given themselves.
John  Williams	Stoner	While they talked they remembered the years of their youth, and each thought of the other as he had been at another time.
John  Williams	Stoner	It's for us that the University exists, for the dispossessed of the world; not for the students, not for the selfless pursuit of knowledge, not for any of the reasons that you hear. We give out the reasons, and we let a few of the ordinary ones in, those that would do in the world; but that's just protective coloration. Like the church in the Middle Ages, which didn't give a damn about the laity or even about God, we have our pretenses in order to survive. And we shall survive—because we have to.
John  Williams	Stoner	A kind of joy came upon him, as if borne in on a summer breeze. He dimly recalled that he had been thinking of failure--as if it mattered. It seemed to him now that such thoughts were mean, unworthy of what his life had been. Dim presences gathered at the edge of his consciousness; he could not see them, but he knew that they were there, gathering their forces toward a kind of palpability he could not see or hear. He was approaching them, he knew; but there was no need to hurry. He could ignore them if he wished; he had all the time there was.There was a softness around him, and a languor crept upon his limbs. A sense of his own identity came upon him with a sudden force, and he felt the power of it. He was himself, and he knew what he had been.
John  Williams	Augustus	[...] it seems to me that the moralist is the most useless and contemptible of creatures. He is useless in that he would expend his energies upon making judgments rather than upon gaining knowledge, for the reason that judgment is easy and knowledge is difficult. He is contemptible in that his judgments reflect a vision of himself which in his ignorance and pride he would impose upon the world. I implore you, do not become a moralist; you will destroy your art and your mind.
John  Williams	Stoner	You, too, are cut out for failure; not that you’d fight the world. You’d let it chew you up and spit you out, and you’d lie there wondering what was wrong. Because you’d always expect the world to be something it wasn’t, something it had no wish to be. The weevil in the cotton, the worm in the beanstalk, the borer in the corn. You couldn't face them, and you couldn't fight them; because you’re too weak, and you’re too strong. And you have no place to go in the world.
John  Williams	Stoner	For a few moments in the evening, then, they talked quietly and casually, as if they were old friends or exhausted enemies.
John  Williams	Augustus	The young man, who does not know the future, sees life as a kind of epic adventure, an Odyssey through strange seas and unknown islands, where he will test and prove his powers, and thereby discover his immortality. The man of middle years, who has lived the future that he onced dreamed, sees life as a tragedy; for he has learned that his power, however great, will not prevail against those forces of accident and nature to which he gives the names of gods, and has learned that he is mortal. But the man of age, if he plays his assigned role properly, must see life as a comedy. For his triumphs and his failures merge, and one is no more the occasion for pride or shame than the other; and he is neither the hero who proves himself against those forces, nor the protagonist who is destroyed by them. Like any poor, pitiable shell of an actor, he comes to see that he has played so many parts that there no longer is himself.
